−	56	0.059957
%	50	0.053533
3	29	0.031049
近鉄	18	0.019272
E	17	0.018201
の	15	0.016060
八幡	14	0.014989
製鉄	14	0.014989
釜石	12	0.012848
神戸製鋼	12	0.012848
。	11	0.011777
が	11	0.011777
0	11	0.011777
新日鉄	11	0.011777
は	10	0.010707
4	10	0.010707
トヨタ	10	0.010707
自	10	0.010707
工	10	0.010707
83	10	0.010707
大会	9	0.009636
た	9	0.009636
6	9	0.009636
19	9	0.009636
三洋電機	9	0.009636
チーム	8	0.008565
で	8	0.008565
15	8	0.008565
9	8	0.008565
東芝	8	0.008565
府中	8	0.008565
8	7	0.007495
優勝	7	0.007495
日本	7	0.007495
5	7	0.007495
サントリー	7	0.007495
A	7	0.007495
し	6	0.006424
、	6	0.006424
を	6	0.006424
選手権	6	0.006424
27	6	0.006424
トヨタ自動車	6	0.006424
7	5	0.005353
京都	5	0.005353
13	5	0.005353
リコー	5	0.005353
（	4	0.004283
）	4	0.004283
-	4	0.004283
出場	4	0.004283
決勝	4	0.004283
11	4	0.004283
16	4	0.004283
三菱自工	4	0.004283
東京	4	0.004283
31	4	0.004283
BC	4	0.004283
ラグビーフットボール	3	0.003212
:	3	0.003212
から	3	0.003212
ラグビー	3	0.003212
トーナメント	3	0.003212
に	3	0.003212
戦	3	0.003212
進出	3	0.003212
[	3	0.003212
編集	3	0.003212
]	3	0.003212
両	3	0.003212
24	3	0.003212
10	3	0.003212
14	3	0.003212
17	3	0.003212
25	3	0.003212
18	3	0.003212
22	3	0.003212
も	3	0.003212
29	3	0.003212
26	3	0.003212
28	3	0.003212
全国	2	0.002141
社会	2	0.002141
人	2	0.002141
〜	2	0.002141
年	2	0.002141
シーズン	2	0.002141
ため	2	0.002141
リーグ	2	0.002141
上位	2	0.002141
な	2	0.002141
1994	2	0.002141
1995	2	0.002141
2	2	0.002141
まで	2	0.002141
ない	2	0.002141
・	2	0.002141
年度	2	0.002141
39	2	0.002141
32	2	0.002141
九州電力	2	0.002141
12	2	0.002141
20	2	0.002141
21	2	0.002141
23	2	0.002141
35	2	0.002141
36	2	0.002141
37	2	0.002141
38	2	0.002141
50	2	0.002141
より	2	0.002141
さ	2	0.002141
れ	2	0.002141
2002	2	0.002141
放送	2	0.002141
テレビ朝日	2	0.002141
アナウンサー	2	0.002141
実況	2	0.002141
担当	2	0.002141
.	2	0.002141
B	2	0.002141
BA	2	0.002141
|	2	0.002141
出典	1	0.001071
フリー	1	0.001071
百科	1	0.001071
事典	1	0.001071
『	1	0.001071
ウィキペディア	1	0.001071
Wikipedia	1	0.001071
』	1	0.001071
移動	1	0.001071
ナビゲーション	1	0.001071
,	1	0.001071
検索	1	0.001071
ぜん	1	0.001071
こく	1	0.001071
ゃかいじん	1	0.001071
2003	1	0.001071
2004	1	0.001071
ジャパンラグビートップリーグ	1	0.001071
創設	1	0.001071
発展	1	0.001071
解消	1	0.001071
東日本	1	0.001071
関西	1	0.001071
西日本	1	0.001071
地区	1	0.001071
以前	1	0.001071
完全	1	0.001071
だっ	1	0.001071
ずつ	1	0.001071
組	1	0.001071
分け	1	0.001071
予選	1	0.001071
プール	1	0.001071
行い	1	0.001071
各組	1	0.001071
位	1	0.001071
でき	1	0.001071
この	1	0.001071
当初	1	0.001071
のみ	1	0.001071
権	1	0.001071
得	1	0.001071
直接的	1	0.001071
後継	1	0.001071
ものの	1	0.001071
開催	1	0.001071
時期	1	0.001071
など	1	0.001071
トップ	1	0.001071
マイクロソフト	1	0.001071
カップ	1	0.001071
その	1	0.001071
役割	1	0.001071
引き継い	1	0.001071
いる	1	0.001071
歴代	1	0.001071
記録	1	0.001071
回	1	0.001071
結果	1	0.001071
準	1	0.001071
備考	1	0.001071
1	1	0.001071
1948	1	0.001071
配	1	0.001071
炭	1	0.001071
公団	1	0.001071
57	1	0.001071
1949	1	0.001071
三井化学	1	0.001071
住友	1	0.001071
奔別	1	0.001071
1950	1	0.001071
1951	1	0.001071
1952	1	0.001071
川崎重工	1	0.001071
1953	1	0.001071
1954	1	0.001071
大映	1	0.001071
1955	1	0.001071
1956	1	0.001071
1957	1	0.001071
市役所	1	0.001071
1958	1	0.001071
1959	1	0.001071
1960	1	0.001071
1961	1	0.001071
1962	1	0.001071
谷藤	1	0.001071
機械	1	0.001071
1963	1	0.001071
1964	1	0.001071
1965	1	0.001071
1966	1	0.001071
1967	1	0.001071
1968	1	0.001071
1969	1	0.001071
辞退	1	0.001071
富士	1	0.001071
鉄	1	0.001071
代替	1	0.001071
1970	1	0.001071
抽選	1	0.001071
1971	1	0.001071
1972	1	0.001071
1973	1	0.001071
1974	1	0.001071
1975	1	0.001071
1976	1	0.001071
30	1	0.001071
1977	1	0.001071
1978	1	0.001071
1979	1	0.001071
33	1	0.001071
1980	1	0.001071
34	1	0.001071
1981	1	0.001071
1982	1	0.001071
1983	1	0.001071
1984	1	0.001071
1985	1	0.001071
1986	1	0.001071
40	1	0.001071
1987	1	0.001071
41	1	0.001071
1988	1	0.001071
42	1	0.001071
1989	1	0.001071
43	1	0.001071
1990	1	0.001071
44	1	0.001071
1991	1	0.001071
45	1	0.001071
1992	1	0.001071
46	1	0.001071
1993	1	0.001071
47	1	0.001071
48	1	0.001071
トライ	1	0.001071
数	1	0.001071
49	1	0.001071
1996	1	0.001071
1997	1	0.001071
今	1	0.001071
枠	1	0.001071
拡張	1	0.001071
51	1	0.001071
1998	1	0.001071
52	1	0.001071
1999	1	0.001071
ワールド	1	0.001071
53	1	0.001071
2000	1	0.001071
54	1	0.001071
2001	1	0.001071
55	1	0.001071
最後	1	0.001071
太字	1	0.001071
NHK	1	0.001071
杯	1	0.001071
→	1	0.001071
模様	1	0.001071
系列	1	0.001071
全国ネット	1	0.001071
会場	1	0.001071
毎年	1	0.001071
交互	1	0.001071
秩父宮	1	0.001071
場	1	0.001071
また	1	0.001071
近鉄花園ラグビー場	1	0.001071
朝日放送	1	0.001071
て	1	0.001071
い	1	0.001071
外部	1	0.001071
リンク	1	0.001071
サンケイ	1	0.001071
スポーツ	1	0.001071
社会人選手権	1	0.001071
成績	1	0.001071
一覧	1	0.001071
「	1	0.001071
http	1	0.001071
://	1	0.001071
ja	1	0.001071
wikipedia	1	0.001071
org	1	0.001071
/	1	0.001071
wiki	1	0.001071
/%	1	0.001071
85	1	0.001071
BD	1	0.001071
BE	1	0.001071
82	1	0.001071
93	1	0.001071
95	1	0.001071
88	1	0.001071
C	1	0.001071
AB	1	0.001071
」	1	0.001071
作成	1	0.001071
カテゴリ	1	0.001071
朝日新聞社	1	0.001071
イベント	1	0.001071
現存	1	0.001071
競技	1	0.001071
